ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
 195A2,1,,,,,,,,,,,,,3.07502,3.14159,3.00904,0.0665683,0.0659835,0.0662759,0.0662759
191A2,2,,,,,,,,,,,,,,,,,,,0.2554741
 195B2,0,,,,,,,,,,,,,6.16183,5.94651,0.0949517,0.215323,0.216304,0.215813,0.215813
 195B2,1,,,,,,,,,,,,,6.02258,6.07209,5.9803,0.049509,0.0422826,0.0458958,0.0458958
191A2,2,,,,,,,,,,,,,,,,,,,0.1699172
 195B2,0,,,,,,,,,,,,,3.54282,3.24126,3.88701,0.30156,0.344191,0.322876,0.322876
 195B2,1,,,,,,,,,,,,,3.72067,3.66074,3.78509,0.0599282,0.0644268,0.0621775,0.0621775
191A2,2,,,,,,,,,,,,,,,,,,,0.2606985
 195B2,0,,,,,,,,,,,,,3.2587,3.5221,3.03672,0.263398,0.221986,0.242692,0.242692
 195B2,1,,,,,,,,,,,,,2.92292,2.9305,2.91479,0.00757542,0.00813007,0.00785275,0.00785275
191A2,2,,,,,,,,,,,,,,,,,,,0.23483925
 196A2,0,,,,,,,,,,,,,3.07274,3.31626,2.7468,0.243529,0.325935,0.284732,0.284732
 196A2,1,,,,,,,,,,,,,3.17283,3.20035,3.14159,0.0275158,0.0312397,0.0293778,0.0293778
191A2,2,,,,,,,,,,,,,,,,,,,0.2553542
 196A2,0,,,,,,,1.12638,0.785398,1.48766,0.340979,0.361278,0.351128,2.05331,1.73594,2.35619,0.317365,0.302885,0.310125,0.330627
 196A2,1,,,,,,,1.24905,1.27934,1.22203,0.0302939,0.0270205,0.0286572,1.94378,1.96559,1.91957,0.0218033,0.0242167,0.02301,0.0258336
191A2,2,,,,,,,,,,,,,,,,,,,0.3047934
 196A2,0,,,,,,,1.23755,0.844154,1.51204,0.393398,0.274488,0.333943,1.94378,1.73594,2.13753,0.207839,0.193742,0.20079,0.267367
 196A2,1,,,,,,,0.992894,0.896055,1.07685,0.096839,0.0839604,0.0903997,2.03444,2.03444,2.03444,0,0,0,0.0451999
191A2,2,,,,,,,,,,,,,,,,,,,0.2221671
 196A2,0,,,,,,,,,,,,,1.22982,0.982794,1.50838,0.247024,0.27856,0.262792,0.262792
 196A2,1,,,,,,,,,,,,,1.10715,1.10715,1.10715,0,0,0,0
191A2,2,,,,,,,,,,,,,,,,,,,0.262792
 182A5,0,,,,,,,,,,,,,3.33899,2.9694,3.75626,0.369586,0.417267,0.393427,0.393427
 182A5,1,,,,,,,,,,,,,3.33278,3.48462,3.20035,0.15184,0.132429,0.142134,0.142134
191A2,2,,,,,,,,,,,,,,,,,,,0.251293
 182A5,0,2.05527,1.86225,2.23184,0.193021,0.176565,0.184793,2.96174,2.61352,3.43305,0.348221,0.471311,0.409766,3.7159,3.11035,3.99356,0.605545,0.277661,0.441603,0.345387
 182A5,1,2.07789,2.03444,2.12245,0.0434511,0.0445565,0.0440038,3.28867,3.2129,3.36839,0.0757709,0.0797204,0.0777456,3.92699,3.43583,3.92699,0.491163,0,0.245582,0.122444
191A2,2,,,,,,,,,,,,,,,,,,,0.222943
 182A5,0,,,,,,,1.7976,1.5708,2.0032,0.226799,0.205609,0.216204,2.66207,2.40378,2.9305,0.258296,0.268426,0.263361,0.239782
 182A5,1,,,,,,,1.54303,1.5708,1.5153,0.0277709,0.027728,0.0277494,2.90474,2.78282,3.06482,0.121922,0.160077,0.141,0.0843745
191A2,2,,,,,,,,,,,,,,,,,,,0.1554075
 182A5,0,,,,,,,,,,,,,1.94607,1.67046,2.27305,0.275602,0.326986,0.301294,0.301294
 182A5,1,,,,,,,,,,,,,2.12245,2.14213,2.09887,0.0196823,0.0235806,0.0216314,0.0216314
191A2,2,,,,,,,,,,,,,,,,,,,0.2796626
 182A5,0,,,,,,,,,,,,,2.66513,2.31622,2.98499,0.348909,0.319866,0.334387,0.334387
 182A5,1,,,,,,,,,,,,,2.33181,2.30361,2.35619,0.0281975,0.0243854,0.0262914,0.0262914
191A2,2,,,,,,,,,,,,,,,,,,,0.3080956
 182B5,0,,,,,,,,,,,,,5.68601,5.40713,5.96143,0.278881,0.275426,0.277154,0.277154
 182B5,1,,,,,,,,,,,,,5.49779,5.55654,5.43903,0.0587558,0.0587559,0.0587558,0.0587558
191A2,2,,,,,,,,,,,,,,,,,,,0.2183982
 182B5,0,,,,,,,,,,,,,3.27414,3.07917,3.48462,0.19497,0.210472,0.202721,0.202721
 182B5,1,,,,,,,,,,,,,3.23507,3.20816,3.2587,0.0269086,0.023632,0.0252703,0.0252703
191A2,2,,,,,,,,,,,,,,,,,,,0.1774507
 182B5,0,,,,,,,,,,,,,5.57456,5.21949,5.96143,0.355072,0.386876,0.370974,0.370974
 182B5,1,,,,,,,,,,,,,5.22684,5.17604,5.27912,0.0508041,0.0522775,0.0515408,0.0515408
191A2,2,,,,,,,,,,,,,,,,,,,0.3194332
 182B5,0,,,,,,,6.13611,0.0624188,5.85656,0.209497,0.279549,0.244523,4.93919,5.1448,4.71239,0.205609,0.226799,0.216204,0.230364
 182B5,1,,,,,,,0.152649,0.211093,0.0831412,0.0584439,0.0695081,0.063976,5.37343,5.43122,5.32311,0.0577869,0.0503173,0.0540521,0.059014
191A2,2,,,,,,,,,,,,,,,,,,,0.17135
 182B5,0,1.19991,1.48014,0.86217,0.280231,0.337735,0.308983,0.176709,0.588003,6.09784,0.411294,0.362057,0.386675,5.30039,6.25688,4.87754,0.956484,0.422854,0.689669,0.461776
 182B5,1,1.16067,1.2723,1.03038,0.111628,0.130292,0.12096,0.103082,0.165149,0.0587558,0.0620669,0.0443258,0.0531964,5.34119,6.07569,5.27912,0.734504,0.062067,0.398286,0.190814
191A2,2,,,,,,,,,,,,,,,,,,,0.270962
 185A5,0,,,,,,,0.197396,0.0996687,0.321751,0.0977269,0.124355,0.111041,5.66689,5.49779,5.85078,0.169101,0.183889,0.176495,0.143768
 185A5,1,,,,,,,0.10769,0.110657,0.104877,0.00296727,0.00281294,0.0028901,5.63211,5.65439,5.60844,0.0222801,0.0236645,0.0229723,0.0129312
191A2,2,,,,,,,,,,,,,,,,,,,0.1308368
 185A5,0,,,,,,,,,,,,,5.78584,5.46077,6.05971,0.325075,0.273866,0.299471,0.299471
 185A5,1,,,,,,,,,,,,,5.83252,5.79323,5.87077,0.0392957,0.0382508,0.0387733,0.0387733
191A2,2,,,,,,,,,,,,,,,,,,,0.2606977
 185A5,0,,,,,,,,,,,,,4.12439,4.45507,3.69325,0.330679,0.431139,0.380909,0.380909
 185A5,1,,,,,,,,,,,,,4.56531,4.64108,4.48559,0.0757708,0.0797205,0.0777456,0.0777456
191A2,2,,,,,,,,,,,,,,,,,,,0.3031634
 154A2,0,,,,,,,4.93919,4.64108,5.24046,0.298107,0.301275,0.299691,5.78384,5.69518,5.90268,0.0886559,0.11884,0.103748,0.201719
 154A2,1,,,,,,,4.75403,4.71239,4.78916,0.0416427,0.035129,0.0383858,5.87077,5.7708,5.9803,0.0999789,0.109526,0.104752,0.071569
191A2,2,,,,,,,,,,,,,,,,,,,0.13015
 154A2,0,,,,,,,4.48559,4.3075,4.71239,0.178093,0.226799,0.202446,5.49779,5.17604,5.81954,0.321751,0.321751,0.321751,0.262098
 154A2,1,,,,,,,4.45983,4.36937,4.53772,0.0904694,0.0778822,0.0841758,5.69518,5.74277,5.65439,0.047583,0.0407939,0.0441885,0.0641821
191A2,2,,,,,,,,,,,,,,,,,,,0.1979159
 143A2,0,,,,,,,,,,,,,3.47365,3.78509,3.20035,0.311442,0.273304,0.292373,0.292373
 143A2,1,,,,,,,,,,,,,3.60524,3.64869,3.574,0.0434507,0.03124,0.0373454,0.0373454
191A2,2,,,,,,,,,,,,,,,,,,,0.2550276
 143A2,0,,,,,,,,,,,,,3.03094,3.24647,2.8023,0.215534,0.228636,0.222085,0.222085
 143A2,1,,,,,,,,,,,,,3.14159,3.21836,3.07917,0.0767716,0.0624189,0.0695953,0.0695953
191A2,2,,,,,,,,,,,,,,,,,,,0.1524897
 143A2,0,,,,,,,1.73594,1.96559,1.48766,0.229642,0.24829,0.238966,0.856706,1.19029,0.507098,0.333584,0.349607,0.341596,0.290281
 143A2,1,,,,,,,2.19482,2.30361,2.11122,0.108792,0.0836036,0.0961979,0.807617,0.825377,0.785398,0.0177602,0.0222185,0.0199894,0.0580936
191A2,2,,,,,,,,,,,,,,,,,,,0.2321874
 143A2,0,,,,,,,,,,,,,1.99742,1.62629,2.32173,0.371129,0.324302,0.347715,0.347715
 143A2,1,,,,,,,,,,,,,2.13753,2.07014,2.19959,0.0673826,0.0620669,0.0647248,0.0647248
191A2,2,,,,,,,,,,,,,,,,,,,0.2829902
 143A2,0,,,,,,,,,,,,,1.68395,1.45137,1.96932,0.23258,0.285372,0.258976,0.258976
 143A2,1,,,,,,,1.22524,1.2723,1.17601,0.0470566,0.0492355,0.048146,2.1786,2.12245,2.24554,0.0561471,0.0669388,0.0615429,0.0548445
191A2,2,,,,,,,,,,,,,,,,,,,0.2041315
 120A3,0,,,,,,,,,,,,,,2.97644,2.70918,3.20035,0.267259,0.223905,0.245582
 120A3,1,,,,,,,,,,,,,,2.46107,2.45586,2.46685,0.00520825,0.00578013,0.00549419
191A2,2,,,,,,,,,,,,,,,,,,,0.24008781
 120A3,0,,,,,,,2.95461,2.75099,3.14159,0.203628,0.186979,0.195304,3.96697,3.69014,4.33188,0.276827,0.364913,0.32087,0.258087
 120A3,1,,,,,,,3.00453,2.95624,3.06482,0.0482817,0.0602945,0.0542881,4.03765,4.05669,4.01765,0.0190453,0.0199976,0.0195214,0.0369048
191A2,2,,,,,,,,,,,,,,,,,,,0.2211822
 120A3,0,,,,,,,,,,,,,5.91601,6.22077,5.55037,0.304755,0.365641,0.335198,0.335198
 120A3,1,,,,,,,,,,,,,5.49779,5.60844,5.40713,0.110657,0.0906596,0.100658,0.100658
191A2,2,,,,,,,,,,,,,,,,,,,0.23454
 118A2,0,0.968509,0.708626,1.19029,0.259883,0.221781,0.240832,1.8693,1.5708,2.29744,0.298499,0.428143,0.363321,2.72918,2.02146,2.92292,0.707725,0.193742,0.450733,0.351629
 118A2,1,0.732815,0.726642,0.737815,0.00617272,0.00500003,0.00558637,1.75391,1.71269,1.7976,0.0412138,0.0436882,0.042451,2.75099,1.99499,2.78282,0.755995,0.0318364,0.393916,0.147318
191A2,2,,,,,,,,,,,,,,,,,,,0.204311
 118A2,0,3.62849,3.33899,3.92699,0.289504,0.298499,0.294001,4.75781,4.42093,5.03414,0.33688,0.276328,0.306604,5.57456,4.90978,5.86496,0.664775,0.290402,0.477588,0.359398
 118A2,1,3.53638,3.53638,3.53638,0,0,0,4.71239,4.71239,4.71239,0,0,0,5.74277,5.0169,5.76404,0.725866,0.021273,0.373569,0.124523
191A2,2,,,,,,,,,,,,,,,,,,,0.234875
 006A3,0,,,,,,,3.80564,3.46334,4.16073,0.342296,0.355095,0.348695,2.69922,2.45928,2.91812,0.239942,0.218898,0.22942,0.289058
 006A3,1,,,,,,,3.78509,3.75232,3.81633,0.0327752,0.0312399,0.0320075,2.77905,2.8023,2.7468,0.0232514,0.0322468,0.0277491,0.0298783
191A2,2,,,,,,,,,,,,,,,,,,,0.2591797
 006A3,0,1.26109,1.04272,1.49402,0.218372,0.232931,0.225651,2.24554,1.8693,2.61352,0.376242,0.367981,0.372111,2.87534,2.39464,3.05093,0.480704,0.175592,0.328148,0.308637
 006A3,1,1.10715,1.10715,1.10715,0,0,0,1.99365,1.93797,2.08994,0.05568,0.0962924,0.0759862,2.85354,2.29245,2.9305,0.561086,0.0769619,0.319024,0.13167
191A2,2,,,,,,,,,,,,,,,,,,,0.176967
 006A3,0,,,,,,,5.29029,5.55654,5.0929,0.266252,0.197395,0.231824,4.57532,4.78916,4.4095,0.213838,0.165819,0.189828,0.210826
 006A3,1,,,,,,,5.41465,5.4502,5.38713,0.0355577,0.0275164,0.031537,4.45983,4.45507,4.46741,0.00476933,0.0075759,0.00617261,0.0188548
191A2,2,,,,,,,,,,,,,,,,,,,0.1919712
 006A3,0,,,,,,,3.27866,3.53638,3.08284,0.257725,0.195822,0.226774,2.12245,2.30861,1.9513,0.18616,0.171149,0.178654,0.202714
 006A3,1,,,,,,,3.33899,3.31626,3.36839,0.0227234,0.0294031,0.0260633,2.26124,2.2143,2.30861,0.0469453,0.0473684,0.0471569,0.0366101
191A2,2,,,,,,,,,,,,,,,,,,,0.1661039
 006A3,0,,,,,,,,,,,,,3.42632,3.74164,3.09617,0.31532,0.330154,0.322737,0.322737
 006A3,1,,,,,,,,,,,,,3.37415,3.44747,3.29819,0.0733222,0.0759549,0.0746386,0.0746386
191A2,2,,,,,,,,,,,,,,,,,,,0.2480984
 006A3,0,,,,,,,5.40284,5.65439,5.20235,0.251553,0.200489,0.226021,4.44322,4.52704,4.34522,0.0838193,0.0980062,0.0909128,0.158467
 006A3,1,,,,,,,5.47454,5.55037,5.41465,0.0758347,0.0598893,0.067862,4.30348,4.32178,4.27998,0.0183009,0.0235,0.0209004,0.0443812
191A2,2,,,,,,,,,,,,,,,,,,,0.1140858
 006A3,0,,,,,,,,,,,,,5.86177,6.03821,5.67764,0.17644,0.184126,0.180283,0.180283
 006A3,1,,,,,,,,,,,,,5.80749,5.91229,5.69518,0.104804,0.112307,0.108556,0.108556
191A2,2,,,,,,,,,,,,,,,,,,,0.071727
 006B3,0,,,,,,,2.08525,1.92957,2.35619,0.155681,0.270947,0.213314,3.06765,2.7468,3.33899,0.320852,0.271335,0.296093,0.254704
 006B3,1,,,,,,,2.14987,2.20355,2.07014,0.0536746,0.0797276,0.0667011,3.05485,2.98894,3.14159,0.0659111,0.0867385,0.0763248,0.071513
191A2,2,,,,,,,,,,,,,,,,,,,0.183191
 006B3,0,,,,,,,,,,,,,1.59579,1.80454,1.3633,0.208748,0.232491,0.22062,0.22062
 006B3,1,,,,,,,,,,,,,1.6563,1.73594,1.5708,0.0796436,0.0855052,0.0825744,0.0825744
191A2,2,,,,,,,,,,,,,,,,,,,0.1380456
 006B3,0,,,,,,,5.15991,5.01089,5.30039,0.149021,0.140483,0.144752,5.97219,5.81954,6.09784,0.152649,0.12565,0.13915,0.141951
 006B3,1,,,,,,,5.0929,4.99069,5.21174,0.102207,0.11884,0.110523,6.04535,5.99713,6.09784,0.0482159,0.0524878,0.0503518,0.0804376
191A2,2,,,,,,,,,,,,,,,,,,,0.0615134
 006B3,0,,,,,,,5.08672,4.93106,5.32311,0.155664,0.236392,0.196028,0.141897,6.21662,0.367174,0.208465,0.225277,0.216871,0.20645
 006B3,1,,,,,,,5.23567,5.20235,5.27912,0.0333209,0.0434507,0.0383858,0.0688565,0.0665682,0.0713075,0.00228833,0.00245086,0.00236959,0.0203777
191A2,2,,,,,,,,,,,,,,,,,,,0.1860723
 006B3,0,,,,,,,5.47077,5.59746,5.32311,0.126689,0.147652,0.137171,4.38129,4.71239,3.97044,0.331096,0.410851,0.370974,0.254072
 006B3,1,,,,,,,5.26404,5.34119,5.20235,0.0771412,0.0616975,0.0694193,4.3075,4.33188,4.27998,0.0243854,0.0275159,0.0259506,0.047685
191A2,2,,,,,,,,,,,,,,,,,,,0.206387
 006B3,0,,,,,,,,,,,,,4.59528,5.05541,4.28954,0.460133,0.305745,0.382939,0.382939
 006B3,1,,,,,,,,,,,,,4.49703,4.45179,4.53772,0.0452447,0.0406856,0.0429651,0.0429651
191A2,2,,,,,,,,,,,,,,,,,,,0.3399739
 006B3,0,,,,,,,2.0032,1.68791,2.40878,0.315299,0.405573,0.360436,3.17189,2.97644,3.40219,0.195442,0.230308,0.212875,0.286656
 006B3,1,,,,,,,2.06474,2.00742,2.13753,0.0573144,0.0727877,0.065051,3.01327,3.02448,2.9997,0.0112146,0.0135739,0.0123943,0.0387226
191A2,2,,,,,,,,,,,,,,,,,,,0.2479334
 009A3,0,,,,,,,0.119429,0.432408,6.03821,0.312979,0.364408,0.338693,5.49779,5.74277,5.30039,0.244979,0.197395,0.221187,0.27994
 009A3,1,,,,,,,0.2783,0.588003,0,0.309703,0.2783,0.294001,5.56436,5.61722,5.49779,0.0528607,0.0665684,0.0597145,0.176858
191A2,2,,,,,,,,,,,,,,,,,,,0.103082
 009A3,0,,,,,,,5.75511,6.08579,5.39812,0.330679,0.356992,0.343836,4.74464,4.93919,4.60173,0.194552,0.142904,0.168728,0.256282
 009A3,1,0.214061,0.266252,0.165149,0.0521916,0.048912,0.0505518,5.56744,5.67764,5.4502,0.110198,0.117238,0.113718,4.4286,5.27099,4.39064,0.842393,0.0379567,0.440175,0.201482
191A2,2,,,,,,,,,,,,,,,,,,,0.0548
 009A3,0,,,,,,,,,,,,,5.49779,5.72459,5.23153,0.226799,0.266252,0.246525,0.246525
 009A3,1,,,,,,,,,,,,,5.56153,5.61722,5.49779,0.0556854,0.0637436,0.0597145,0.0597145
191A2,2,,,,,,,,,,,,,,,,,,,0.1868105
 009A3,0,,,,,,,,,,,,,5.3918,5.58093,5.20235,0.189125,0.189456,0.189291,0.189291
 009A3,1,,,,,,,,,,,,,5.27696,5.42102,5.1248,0.144057,0.152159,0.148108,0.148108
191A2,2,,,,,,,,,,,,,,,,,,,0.041183
 009A3,0,,,,,,,0.229232,0.489957,6.21662,0.260725,0.2958,0.278263,5.36226,5.54537,5.20235,0.183111,0.159913,0.171512,0.224887
 009A3,1,,,,,,,0.197396,0.260602,0.132552,0.0632071,0.064844,0.0640255,5.52217,5.45434,5.60844,0.0678363,0.0862717,0.077054,0.0705398
191A2,2,,,,,,,,,,,,,,,,,,,0.1543472
 009A3,0,,,,,,,,,,,,,0.274167,0.512389,0,0.238222,0.274167,0.256195,0.256195
 009A3,1,,,,,,,,,,,,,0.244979,0.298499,0.197396,0.0535201,0.0475831,0.0505516,0.0505516
191A2,2,,,,,,,,,,,,,,,,,,,0.2056434
 009A3,0,,,,,,,0.282555,0.489957,0.0624188,0.207403,0.220136,0.213769,5.61914,5.76404,5.4452,0.1449,0.173935,0.159417,0.186593
 009A3,1,,,,,,,0.244979,0.321751,0.185348,0.0767721,0.0596307,0.0682014,5.54775,5.65439,5.4502,0.106643,0.0975418,0.102092,0.0851469
191A2,2,,,,,,,,,,,,,,,,,,,0.1014461
 009B3,0,,,,,,,2.0169,2.2143,1.75065,0.197396,0.266252,0.231824,1.07437,1.2925,0.837981,0.218123,0.236392,0.227258,0.229541
 009B3,1,,,,,,,2.16922,2.19959,2.13753,0.0303773,0.0316896,0.0310335,0.991722,0.942,1.03038,0.049722,0.0386547,0.0441884,0.0376109
191A2,2,,,,,,,,,,,,,,,,,,,0.1919301
 009B3,0,,,,,,,3.26992,3.41989,3.14159,0.149977,0.128323,0.13915,1.98321,2.26553,1.76819,0.282328,0.215015,0.248671,0.193911
 009B3,1,,,,,,,3.17606,3.14159,3.20401,0.0344691,0.0279497,0.0312094,1.99222,1.97569,2.00742,0.0165274,0.0152082,0.0158678,0.0235386
191A2,2,,,,,,,,,,,,,,,,,,,0.1703724
 009B3,0,,,,,,,,,,,,,3.50332,3.84149,3.03094,0.338164,0.472386,0.405275,0.405275
 009B3,1,,,,,,,,,,,,,3.65714,3.74714,3.58144,0.0899958,0.0757065,0.0828511,0.0828511
191A2,2,,,,,,,,,,,,,,,,,,,0.3224239
 009B3,0,4.99618,5.25281,4.7837,0.256626,0.212486,0.234556,3.90261,4.3075,3.5221,0.404892,0.380506,0.392699,2.71183,3.59375,2.46685,0.881916,0.244979,0.563447,0.396901
 009B3,1,4.71239,4.64108,4.7837,0.0713077,0.0713076,0.0713076,3.83052,3.86042,3.80264,0.0299057,0.0278811,0.0288934,2.78689,3.40219,2.86329,0.615308,0.0764059,0.345857,0.148686
191A2,2,,,,,,,,,,,,,,,,,,,0.248215
 009B3,0,,,,,,,3.77267,3.89252,3.56822,0.11985,0.204452,0.162151,2.6659,2.89661,2.48875,0.230717,0.177151,0.203934,0.183042
 009B3,1,,,,,,,3.90261,3.97457,3.82732,0.0719685,0.0752831,0.0736258,2.77986,2.7367,2.83871,0.0431626,0.0588445,0.0510035,0.0623146
191A2,2,,,,,,,,,,,,,,,,,,,0.1207274
 009B3,0,,,,,,,,,,,,,2.89661,2.67795,3.22473,0.218669,0.32812,0.273394,0.273394
 009B3,1,,,,,,,,,,,,,2.86329,2.86329,2.86329,0,0,0,0
191A2,2,,,,,,,,,,,,,,,,,,,0.273394
 009B3,0,4.03765,3.78509,4.36362,0.252554,0.32597,0.289262,4.84209,4.55974,5.17604,0.282352,0.333945,0.308148,5.66294,5.01527,5.87829,0.647662,0.215358,0.43151,0.342973
 009B3,1,4.02194,3.92699,4.14566,0.0949519,0.123717,0.109335,4.93919,4.86504,5.01089,0.0741496,0.0717,0.0729248,5.93441,5.17604,5.98469,0.758378,0.0502719,0.404325,0.195528
191A2,2,,,,,,,,,,,,,,,,,,,0.147445
 014A3,0,,,,,,,,,,,,,1.287,1.03038,1.49949,0.256625,0.212487,0.234556,0.234556
 014A3,1,,,,,,,,,,,,,4.28263,4.24874,4.3176,0.033885,0.0349712,0.0344281,0.0344281
191A2,2,,,,,,,,,,,,,,,,,,,0.2001279
 014A3,0,,,,,,,,,,,,,1.22203,0.785398,1.5708,0.436627,0.348771,0.392699,0.392699
 014A3,1,,,,,,,,,,,,,1.0637,1.0637,1.0637,0,0,0,0
191A2,2,,,,,,,,,,,,,,,,,,,0.392699
