cID,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 035A3, 1, , , , , , , 1.2723, 1.2723, 1.2723, 0, 0, 0, 2.38183, 2.35619, 2.42276, 0.0256355, 0.0409326, 0.033284, 0.016642
12, 035A3, 2, , , , , , , , , , , , , 5.78384, 5.55654, 5.98469, 0.227296, 0.200848, 0.214072, 0.214072
12, 035A3, 0, , , , , , , 4.66894, 5.00385, 4.41389, 0.334907, 0.255048, 0.294978, 3.64444, 4.03765, 3.22473, 0.393212, 0.419702, 0.406457, 0.350717
12, 035A3, 1, , , , , , , 4.59177, 4.64997, 4.53772, 0.0582046, 0.0540485, 0.0561265, 3.46334, 3.49036, 3.44009, 0.0270204, 0.0232515, 0.0251359, 0.0406312
12, 035A3, 2, , , , , , , , , , , , , 3.18504, 3.29424, 3.04192, 0.109198, 0.14312, 0.126159, 0.126159
12, 035A3, 0, , , , , , , 4.54724, 4.71239, 4.36362, 0.165149, 0.183622, 0.174386, 3.56822, 3.75232, 3.38657, 0.184099, 0.181649, 0.182874, 0.17863
12, 035A3, 1, , , , , , , 4.52704, 4.61272, 4.39064, 0.0856794, 0.136403, 0.111041, 3.55172, 3.60524, 3.50877, 0.0535206, 0.0429535, 0.048237, 0.079639
12, 035A3, 2, , , , , , , , , , , , , 3.09814, 3.2129, 2.92292, 0.114758, 0.175218, 0.144988, 0.144988
12, 035A3, 0, , , , , , , 4.63256, 5.06116, 4.3075, 0.428601, 0.325062, 0.376831, 3.66967, 3.83633, 3.46334, 0.166664, 0.206324, 0.186494, 0.281663
12, 035A3, 1, , , , , , , 4.60931, 4.64108, 4.57984, 0.031774, 0.02947, 0.030622, 3.53638, 3.53638, 3.53638, 0, 0, 0, 0.015311
12, 035A3, 2, , , , , , , , , , , , , 3.554, 3.60524, 3.46334, 0.0512375, 0.0906599, 0.0709487, 0.0709487
12, 035A3, 0, , , , , , , 4.77896, 5.03414, 4.60173, 0.255182, 0.177226, 0.216204, 3.92699, 4.09214, 3.7296, 0.165149, 0.197396, 0.181272, 0.198738
12, 035A3, 1, , , , , , , 4.74179, 4.76789, 4.71239, 0.0260953, 0.0294032, 0.0277493, 3.66967, 3.70832, 3.63553, 0.0386547, 0.034133, 0.0363938, 0.0320715
12, 035A3, 2, , , , , , , , , , , , , 5.54124, 5.45434, 5.62749, 0.0869017, 0.0862516, 0.0865767, 0.0865767
12, 035A3, 0, , , , , , , , , , , , , 3.84609, 3.60524, 4.08359, 0.240846, 0.237506, 0.239176, 0.239176
12, 035A3, 1, , , , , , , , , , , , , 3.92699, 3.92699, 3.92699, 0, 0, 0, 0
12, 035A3, 2, , , , , , , , , , , , , 5.51906, 5.40713, 5.61722, 0.111933, 0.0981554, 0.105044, 0.105044
12, 035A3, 0, , , , , , , 4.43409, 4.62925, 4.20529, 0.195158, 0.228799, 0.211979, 3.49458, 3.7296, 3.24126, 0.235012, 0.253322, 0.244167, 0.228073
