cID,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 016BC, 2, , , , , , , , , , , , , 3.70832, 3.70832, 3.70832, 0, 0, 0, 0
12, 016BC, 0, , , , , , , , , , , , , 1.6002, 1.29985, 1.92957, 0.30035, 0.329368, 0.314859, 0.314859
12, 016BC, 1, , , , , , , , , , , , , 1.50194, 1.3597, 1.63736, 0.142237, 0.135425, 0.138831, 0.138831
12, 016BC, 2, , , , , , , , , , , , , 3.574, 3.60524, 3.53638, 0.0312399, 0.0376165, 0.0344282, 0.0344282
12, 016BC, 0, , , , , , , , , , , , , 1.62788, 1.29985, 1.9614, 0.328028, 0.333527, 0.330777, 0.330777
12, 016BC, 1, , , , , , , , , , , , , 1.62788, 1.5708, 1.67567, 0.0570807, 0.0477962, 0.0524385, 0.0524385
12, 016BC, 2, , , , , , , , , , , , , 2.77905, 2.78282, 2.77442, 0.0037736, 0.00462961, 0.00420161, 0.00420161
12, 016BC, 0, , , , , , , , , , , , , 1.59711, 1.23412, 1.98902, 0.362984, 0.391915, 0.37745, 0.37745
12, 016BC, 1, , , , , , , , , , , , , 1.5708, 1.44644, 1.70335, 0.124355, 0.132552, 0.128453, 0.128453
12, 016BC, 2, , , , , , , , , , , , , 2.81984, 2.67795, 2.9305, 0.141897, 0.110657, 0.126277, 0.126277
12, 016BC, 0, , , , , , , , , , , , , 2.62245, 2.46685, 2.76109, 0.155595, 0.13864, 0.147117, 0.147117
12, 016BC, 1, , , , , , , , , , , , , 2.70326, 2.59304, 2.86329, 0.110213, 0.160037, 0.135125, 0.135125
12, 016BC, 2, , , , , , , , , , , , , 3.86042, 3.78509, 3.92699, 0.0753288, 0.0665683, 0.0709486, 0.0709486
12, 017AA, 0, , , , , , , , , , , , , 1.44247, 1.10715, 1.8314, 0.335324, 0.388926, 0.362125, 0.362125
12, 017AA, 1, , , , , , , , , , , , , 1.43373, 1.2315, 1.73594, 0.202226, 0.302215, 0.252221, 0.252221
12, 017AA, 2, , , , , , , , , , , , , 3.46334, 3.41989, 3.5221, 0.0434508, 0.0587558, 0.0511033, 0.0511033
12, 017AA, 0, , , , , , , , , , , , , 2.30361, 1.82812, 2.67795, 0.475492, 0.374334, 0.424913, 0.424913
12, 017AA, 1, , , , , , , , , , , , , 2.35619, 2.06075, 2.56522, 0.295441, 0.209023, 0.252232, 0.252232
12, 017AA, 2, , , , , , , , , , , , , 2.72017, 2.81984, 2.62245, 0.0996689, 0.0977268, 0.0986979, 0.0986979
12, 017AA, 0, , , , , , , , , , , , , 0.872894, 1.26492, 0.54042, 0.392024, 0.332474, 0.362249, 0.362249
12, 017AA, 1, , , , , , , , , , , , , 0.921801, 1.10715, 0.748378, 0.185348, 0.173423, 0.179385, 0.179385
12, 017AA, 2, , , , , , , , , , , , , 1.2598, 1.31019, 1.20362, 0.0503959, 0.0561756, 0.0532857, 0.0532857
12, 017AA, 0, , , , , , , , , , , , , 2.62536, 3.06176, 2.13411, 0.436401, 0.491249, 0.463825, 0.463825
12, 017AA, 1, , , , , , , , , , , , , 2.67795, 2.9362, 2.31622, 0.258252, 0.361729, 0.309991, 0.309991
12, 017AA, 2, , , , , , , , , , , , , 1.04752, 1.07685, 1.01914, 0.0293368, 0.0283767, 0.0288568, 0.0288568
12, 017AA, 0, , , , , , , , , , , , , 3.81211, 4.15379, 3.49458, 0.341675, 0.317531, 0.329603, 0.329603
12, 017AA, 1, , , , , , , , , , , , , 0.715744, 0.605545, 0.832981, 0.110199, 0.117238, 0.113718, 0.113718
12, 017AA, 2, , , , , , , , , , , , , 2.67795, 2.81984, 2.5128, 0.141897, 0.165149, 0.153523, 0.153523
