class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
1,0.464,0.638,0.725,0.667,0.609,0.232,0,0,0.251,0.415,0.435,0.454,0.155,0,0.809,0,0.0512,0.0155,-0.165,-0.346,-0.245,0,0.458,0,0.00567,0.0274,0,0.0661,-0.0909,0,0.116
1,0.783,0.94,0.862,0.809,0.627,0.209,0,0,0.287,0.339,0.418,0.366,0.0783,0,0.716,0,0.0205,-0.194,-0.382,-0.168,-0.188,0,0.498,0,0.0516,-0.0333,0,-0.00719,-0.157,0,0.169
1,0.314,0.457,0.571,0.6,0.514,0.171,0,0,0.195,0.362,0.443,0.41,0.119,0,0.74,0,-0.0714,-0.171,-0.357,-0.124,-0.148,0,0.446,0,-0.055,-0.0334,0,0.0142,-0.131,0,0.147
1,0.199,0.473,0.647,0.697,0.672,0.299,0,0,0.307,0.514,0.597,0.605,0.265,0,1.07,0,0.107,0.114,-0.00299,-0.195,-0.135,0,0.284,0,-0.0352,-0.0205,0,0.0707,-0.0766,0,0.112
1,0,0.351,0.486,0.73,0.676,0.568,0.189,0,0.32,0.423,0.635,0.55,0.41,0,1.07,0,0.0532,-0.11,-0.165,0.0162,0.143,0,0.251,0,-0.0454,-0.146,0,-0.0197,0.0447,0,0.16
1,0.209,0.34,0.445,0.602,0.471,0.288,0,0,0.166,0.305,0.497,0.401,0.253,0,0.77,0,-0.101,-0.228,-0.303,-0.132,-0.0136,0,0.414,0,-0.116,-0.139,0,-0.043,-0.0292,0,0.189
3,0.455,1.04,1.41,1.16,1.01,0.455,0,0,0.657,1.11,0.934,0.859,0.379,0,1.85,0,0.101,0,0.101,0.303,0.101,0,0.35,0,0.0987,0.267,0,0.0141,-0.179,0,0.336
3,0.614,0.844,1.05,1.25,0.946,0.537,0,0,0.332,0.639,0.946,0.742,0.435,0,1.47,0,0.017,0.00853,0,0.111,0.119,0,0.164,0,-0.233,-0.216,0,-0.114,-0.131,0,0.363
3,0.709,0.993,1.21,1.56,1.32,0.733,0,0,0.402,0.733,1.21,1.09,0.615,0,1.93,0,-8.94E-07,-0.0709,0,0.284,0.213,0,0.362,0,-0.201,-0.173,0.206,0.182,0.0118,0,0.382
3,0.28,0.49,0.653,0.839,0.629,0.21,0,0,0.256,0.466,0.699,0.536,0.163,0,1.04,0,-0.0103,-0.0671,-0.101,0.0028,-0.103,0,0.16,0,-0.149,-0.162,0,-0.0917,-0.242,0,0.339
3,0.546,0.738,0.71,0.902,0.683,0.246,0,0,0.282,0.346,0.628,0.501,0.155,0,0.932,0,0.0157,-0.187,-0.172,-0.0324,-0.112,0,0.28,0,-0.0788,-0.217,0,-0.0622,-0.206,0,0.316
3,0.8,0.95,1.1,1.07,0.9,0.35,0,0,0.283,0.567,0.675,0.633,0.217,0,1.14,0,0.0167,0.0333,-0.125,0.1,-0.05,0,0.172,0,-0.106,-0.0389,0,0.0277,-0.173,0,0.209
3,0,0.201,0.451,0.677,0.702,0.376,0.0752,0,0.188,0.426,0.639,0.652,0.313,0,1.07,0,-0.012,0.0261,0.0391,-0.148,-0.0867,0,0.179,0,-0.18,-0.147,0,0.0788,-0.0544,0,0.251
3,0,0.395,0.79,0.864,0.617,0.198,0.0247,0,0.391,0.782,0.852,0.601,0.177,0,1.37,0,0.107,0.214,0,0.0329,-0.107,0,0.264,0,-0.112,0.0139,0,-0.167,-0.326,0,0.383
3,0.158,0.271,0.543,0.814,0.656,0.204,0,0,0.14,0.437,0.735,0.603,0.177,0,1.07,0,-0.127,-0.0959,-0.0647,0.07,-0.0894,0,0.206,0,-0.288,-0.223,0,-0.0574,-0.25,0,0.446
3,0.172,0.392,0.564,0.882,0.735,0.221,0,0,0.249,0.449,0.797,0.678,0.192,0,1.18,0,-0.0175,-0.084,-0.00343,0.145,-0.0747,0,0.184,0,-0.218,-0.268,0,-0.0389,-0.275,0,0.443
3,0.184,0.553,0.842,0.895,0.658,0.237,0,0,0.399,0.719,0.803,0.596,0.206,0,1.31,0,0.132,0.184,0,0.0614,-0.0614,0,0.242,0,-0.0716,-0.00332,0,-0.126,-0.265,0,0.302
3,0.127,0.608,0.886,1.11,0.785,0.253,0,0,0.502,0.802,1.05,0.743,0.232,0,1.61,0,0.152,0.101,0,0.0422,-0.118,0,0.222,0,-0.101,-0.104,0.0506,-0.163,-0.371,0,0.433
3,1.66,1.82,1.97,1.8,1.49,0.403,0,0,0.442,0.861,0.972,0.94,0.126,0,1.67,0,0.118,0.213,0,0.292,-0.197,0,0.429,0,-0.141,-0.0182,0,0.0608,-0.457,0,0.482
3,0.885,1.05,1.15,1.45,1.31,0.751,0,0,0.308,0.563,1.01,1.02,0.603,0,1.68,0,0.0536,0.0536,0.241,0,0.0938,0,0.27,0,-0.295,-0.343,0.00536,0.113,0.00037,0,0.466
3,0,0.263,0.55,0.766,0.718,0.383,0.215,0,0.227,0.478,0.658,0.574,0.203,0,1.04,0,-0.0394,-0.0549,-0.142,0.0408,-0.0633,0,0.174,0,-0.152,-0.112,0,-0.0158,-0.176,0,0.258
3,0.217,0.482,0.675,1.01,0.843,0.602,0,0,0.301,0.53,0.904,0.771,0.566,0,1.45,0,-9.83E-07,-0.0723,0,0.169,0.265,0,0.322,0,-0.236,-0.286,0,-0.0449,0.0291,0,0.374
3,0,0.251,0.452,0.93,0.754,0.402,0.101,0,0.235,0.419,0.879,0.687,0.318,0,1.26,0,-0.0586,-0.168,0,0.101,0.0251,0,0.205,0,-0.286,-0.375,0,-0.107,-0.203,0,0.524
