"shape","expt","date","hive","tab","isRandom","angle00","angle01","angle10","angle11","angle20","angle21","angle0","angle1","angle2","angleSum","r","seg","degrees","hiveseg","tabseg","tabinstance","tabinstanceRnd"
7," 093A1","11/07/2020","B",1,0,5.87077,5.66294,3.44448,3.07917,2.19105,1.81577,0.207839,0.365304,0.375271,0.948414,"E","093A1E",54.3401194311205,"BE","1E","093A11","093A11E"
7," 093A1","11/07/2020","B",1,0,3.40219,3.14159,1.44644,5.81954,0,0,0.260602,1.91009,0,2.17069,"E","093A1E",124.371375631253,"BE","1E","093A11","093A11E"
7," 093A1","11/07/2020","B",1,0,3.14159,6.17253,0,0,0,0,3.25225,0,0,3.25225,"E","093A1E",186.340198921422,"BE","1E","093A11","093A11E"
7," 093A1","11/07/2020","B",1,0,3.44448,3.07917,2.00742,1.24905,0.174672,5.37836,0.365304,0.758378,1.0795,2.20318,"E","093A1E",126.232915507633,"BE","1E","093A11","093A11E"
7," 093A1","11/07/2020","B",1,1,1.2315,0.904827,5.07116,4.29998,2.35619,1.92957,0.326677,0.771181,0.426628,1.52449,"R","093A1R",87.3468429098989,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,5.14902,4.05669,0,0,0,0,1.09232,0,0,1.09232,"R","093A1R",62.5853258777301,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,3.37268,3.14159,1.80189,1.40565,0.0587558,5.45781,0.231091,0.396239,0.884133,1.51146,"R","093A1R",86.6002789028434,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,2.65164,2.26553,1.81577,1.43824,5.03414,4.04642,0.386101,0.37753,0.98772,1.75135,"R","093A1R",100.344963450237,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,2.72918,2.06075,4.65363,4.04642,0,0,0.668429,0.607213,0,1.27564,"R","093A1R",73.0887881780683,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,2.79857,2.44685,0.0665682,5.90268,4.83674,4.52704,0.351714,0.447075,0.309703,1.10849,"R","093A1R",63.5117986324566,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,4.10684,2.43934,5.58093,4.95737,0,0,1.66751,0.623561,0,2.29107,"R","093A1R",131.268641569038,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,2.62245,2.0032,0.54042,0.244979,5.66294,5.23153,0.619242,0.295441,0.431401,1.34608,"R","093A1R",77.1247028869699,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,1.03038,0.904827,5.99713,5.76404,5.1248,4.78916,0.12555,0.233095,0.335639,0.694283,"R","093A1R",39.7794856876813,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",3,0,4.00376,3.19155,1.62955,1.26791,6.17253,5.66294,0.812212,0.361641,0.509593,1.68344,"E","093A1E",96.4540070635033,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,0,2.4859,2.06075,0.868539,0.54042,5.81954,5.17604,0.425143,0.32812,0.643501,1.39676,"E","093A1E",80.0284529926929,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,0,0,0,0,0,0,0,0,0,0,0,"E","093A1E",0,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,0,3.14159,0.832981,0,0,0,0,2.30861,0,0,2.30861,"E","093A1E",132.273609541697,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,0,3.92699,1.9614,0,0,0,0,1.96559,0,0,1.96559,"E","093A1E",112.620011253119,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,0,3.92699,2.31622,1.5708,0.965252,6.05209,5.28373,1.61077,0.605545,0.768368,2.98469,"E","093A1E",171.010140154902,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,0,2.4859,3.60524,0,0,0,0,5.16384,0,0,5.16384,"E","093A1E",295.866238080835,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,0,1.19029,5.07116,4.15379,3.66074,0,0,2.40232,0.493051,0,2.89537,"E","093A1E",165.892481128793,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,1,2.65164,2.31622,1.10715,5.79323,4.76789,4.46741,0.33542,1.59711,0.300477,2.233,"R","093A1R",127.941475652713,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,1.87368,0.588003,5.87077,5.33264,0,0,1.28568,0.538136,0,1.82382,"R","093A1R",104.49718859155,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,2.4859,2.03444,0.463648,5.71185,3.97044,3.48462,0.451453,1.03498,0.485825,1.97226,"R","093A1R",113.002174102472,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,3.2587,2.81984,0.828849,0.489957,5.53481,5.1248,0.438859,0.338892,0.410008,1.18776,"R","093A1R",68.0536350744587,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,1.68791,1.39612,6.01224,5.79323,4.01013,3.71293,0.291781,0.21901,0.297202,0.807993,"R","093A1R",46.2945887761139,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,0,1.7976,6.15883,5.7708,4.01765,0,0,1.92195,1.75315,0,3.6751,"E","093A1E",210.567719288529,"BE","3E","093A13","093A13E"
7," 093A1","11/07/2020","B",3,1,1.1659,0.197396,4.83674,3.28349,0,0,0.968509,1.55325,0,2.52176,"R","093A1R",144.48620494491,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,2.58299,1.75614,0.185348,5.69518,4.3075,3.32694,0.826849,0.773351,0.980556,2.58076,"R","093A1R",147.866655936182,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,4.45179,3.82732,3.08284,2.39066,1.84174,1.3597,0.624464,0.692173,0.48204,1.79868,"R","093A1R",103.056772694591,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,2.65164,2.14213,1.03038,0.702257,6.16608,5.37836,0.509502,0.32812,0.787718,1.62534,"R","093A1R",93.1251222737932,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,0.785398,0.185348,4.10684,3.88701,2.76109,2.27305,0.60005,0.219832,0.488033,1.30792,"R","093A1R",74.9382959407506,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",3,1,2.72918,2.22649,0,6.03821,4.65363,4.17197,0.50269,0.244979,0.481664,1.22933,"R","093A1R",70.4354206288175,"BR","3R","093A13","093A13R"
7," 093A1","11/07/2020","B",1,1,2.19105,1.45369,0.708626,6.17253,4.65689,2.65164,0.737358,0.819283,2.00525,3.5619,"R","093A1R",204.081837047648,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,2.23677,0.904827,5.87077,5.37836,0,0,1.33194,0.492416,0,1.82435,"R","093A1R",104.527555354692,"BR","1R","093A11","093A11R"
7," 093A1","11/07/2020","B",1,1,2.27305,1.85685,5.81954,5.31793,3.65398,3.26595,0.416205,0.501604,0.388035,1.30584,"R","093A1R",74.8191207193634,"BR","1R","093A11","093A11R"
7," 094A1","11/07/2020","A",1,0,1.63322,1.26791,5.74277,4.29998,0,0,0.365304,1.44279,0,1.80809,"E","094A1E",103.595925979809,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,2.31622,1.87368,0.380506,5.53777,4.01013,3.57822,0.442535,1.12593,0.431912,2.00037,"E","094A1E",114.612758464585,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,5.74277,4.59528,0,0,0,0,1.14749,0,0,1.14749,"E","094A1E",65.7463340334668,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,5.20235,1.5708,0,0,0,0,3.63155,0,0,3.63155,"E","094A1E",208.072488090734,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,2.06075,1.75614,0.655696,0.0587558,5.74277,5.20235,0.304609,0.59694,0.54042,1.44197,"E","094A1E",82.6187951844793,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,3.20035,2.22649,0,4.09214,0,0,0.973856,2.19105,0,3.1649,"E","094A1E",181.335412580954,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,2.06075,4.95737,0,0,0,0,3.38657,0,0,3.38657,"E","094A1E",194.036168025619,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,5.94389,5.45781,4.27576,2.57026,0,0,0.486084,1.70551,0,2.19159,"E","094A1E",125.568857423076,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,1.08084,3.02448,0,0,0,0,4.33954,0,0,4.33954,"E","094A1E",248.637327028201,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,2.19105,1.75614,5.30039,4.12439,0,0,0.434901,1.17601,0,1.61091,"E","094A1E",92.2983441754194,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,1,1.31019,0.965252,5.14902,4.09214,0,0,0.344942,1.05688,0,1.40182,"R","094A1R",80.3183696370291,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,1.19029,0.741947,4.95737,4.53772,2.67795,2.4859,0.448343,0.419651,0.192048,1.06004,"R","094A1R",60.7358181150478,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,1.87368,1.38545,5.41465,5.07116,3.20035,2.89661,0.488233,0.343486,0.303734,1.13545,"R","094A1R",65.0564928481293,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,0,0,0,0,0,0,0,0,0,0,"R","094A1R",0,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,4.77114,4.29998,3.14159,1.89255,0,0,0.471166,1.24905,0,1.72021,"R","094A1R",98.5607728761994,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,1.50838,6.22443,5.37836,4.89774,0,0,1.56713,0.480621,0,2.04775,"R","094A1R",117.327432497914,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,1.31019,0.436627,5.14902,4.65689,4.04642,3.76184,0.873567,0.492126,0.284577,1.65027,"R","094A1R",94.5535060570543,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,2.35619,1.76819,5.01527,4.71239,3.71293,3.20401,0.588003,0.302885,0.508919,1.39981,"R","094A1R",80.2032051202078,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,1,4.58803,3.96697,3.08609,2.26553,0,0,0.621065,0.82056,0,1.44162,"R","094A1R",82.5987416616497,"AR","1R","094A11","094A11R"
7," 094A1","11/07/2020","A",1,0,2.03444,5.49779,0,0,0,0,2.81984,0,0,2.81984,"E","094A1E",161.56493090217,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,5.27099,2.08994,0,0,0,0,3.18105,0,0,3.18105,"E","094A1E",182.260739420091,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,1.26791,0.185348,5.41465,4.05669,0,0,1.08256,1.35795,0,2.44052,"E","094A1E",139.831495817268,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,1.9513,5.28373,0,0,0,0,2.95076,0,0,2.95076,"E","094A1E",169.066094356023,"AE","1E","094A11","094A11E"
7," 094A1","11/07/2020","A",1,0,0.124355,5.58093,4.98334,3.80756,0,0,0.826612,1.17577,0,2.00239,"E","094A1E",114.728495939201,"AE","1E","094A11","094A11E"
