shape, expt,date,hive,tab, isRandom, angle00, angle01,angle10, angle11,angle20, angle21,angle0, angle1,angle2, angleSum
7, 093A1,11/07/2020,B,3,0,4.00376,3.19155,1.62955,1.26791,6.17253,5.66294,0.812212,0.361641,0.509593,1.68344
7, 093A1,11/07/2020,B,3,0,2.4859,2.06075,0.868539,0.54042,5.81954,5.17604,0.425143,0.32812,0.643501,1.39676
7, 093A1,11/07/2020,B,3,0,0,0,0,0,0,0,0,0,0,0
7, 093A1,11/07/2020,B,3,0,3.14159,0.832981,0,0,0,0,2.30861,0,0,2.30861
7, 093A1,11/07/2020,B,3,0,3.92699,1.9614,0,0,0,0,1.96559,0,0,1.96559
7, 093A1,11/07/2020,B,3,0,3.92699,2.31622,1.5708,0.965252,6.05209,5.28373,1.61077,0.605545,0.768368,2.98469
7, 093A1,11/07/2020,B,3,0,2.4859,3.60524,0,0,0,0,5.16384,0,0,5.16384
7, 093A1,11/07/2020,B,3,0,1.19029,5.07116,4.15379,3.66074,0,0,2.40232,0.493051,0,2.89537
7, 093A1,11/07/2020,B,3,1,2.65164,2.31622,1.10715,5.79323,4.76789,4.46741,0.33542,1.59711,0.300477,2.233
7, 093A1,11/07/2020,B,3,1,1.87368,0.588003,5.87077,5.33264,0,0,1.28568,0.538136,0,1.82382
7, 093A1,11/07/2020,B,3,1,2.4859,2.03444,0.463648,5.71185,3.97044,3.48462,0.451453,1.03498,0.485825,1.97226
7, 093A1,11/07/2020,B,3,1,3.2587,2.81984,0.828849,0.489957,5.53481,5.1248,0.438859,0.338892,0.410008,1.18776
7, 093A1,11/07/2020,B,3,1,1.68791,1.39612,6.01224,5.79323,4.01013,3.71293,0.291781,0.21901,0.297202,0.807993
7, 093A1,11/07/2020,B,3,0,1.7976,6.15883,5.7708,4.01765,0,0,1.92195,1.75315,0,3.6751
7, 093A1,11/07/2020,B,3,1,1.1659,0.197396,4.83674,3.28349,0,0,0.968509,1.55325,0,2.52176
7, 093A1,11/07/2020,B,3,1,2.58299,1.75614,0.185348,5.69518,4.3075,3.32694,0.826849,0.773351,0.980556,2.58076
7, 093A1,11/07/2020,B,3,1,4.45179,3.82732,3.08284,2.39066,1.84174,1.3597,0.624464,0.692173,0.48204,1.79868
7, 093A1,11/07/2020,B,3,1,2.65164,2.14213,1.03038,0.702257,6.16608,5.37836,0.509502,0.32812,0.787718,1.62534
7, 093A1,11/07/2020,B,3,1,0.785398,0.185348,4.10684,3.88701,2.76109,2.27305,0.60005,0.219832,0.488033,1.30792
7, 093A1,11/07/2020,B,3,1,2.72918,2.22649,0,6.03821,4.65363,4.17197,0.50269,0.244979,0.481664,1.22933
7, 094A1,11/07/2020,A,1,0,1.63322,1.26791,5.74277,4.29998,0,0,0.365304,1.44279,0,1.80809
7, 094A1,11/07/2020,A,1,0,2.31622,1.87368,0.380506,5.53777,4.01013,3.57822,0.442535,1.12593,0.431912,2.00037
7, 094A1,11/07/2020,A,1,0,5.74277,4.59528,0,0,0,0,1.14749,0,0,1.14749
7, 094A1,11/07/2020,A,1,0,5.20235,1.5708,0,0,0,0,3.63155,0,0,3.63155
7, 094A1,11/07/2020,A,1,0,2.06075,1.75614,0.655696,0.0587558,5.74277,5.20235,0.304609,0.59694,0.54042,1.44197
7, 094A1,11/07/2020,A,1,0,3.20035,2.22649,0,4.09214,0,0,0.973856,2.19105,0,3.1649
7, 094A1,11/07/2020,A,1,0,2.06075,4.95737,0,0,0,0,3.38657,0,0,3.38657
7, 094A1,11/07/2020,A,1,0,5.94389,5.45781,4.27576,2.57026,0,0,0.486084,1.70551,0,2.19159
7, 094A1,11/07/2020,A,1,0,1.08084,3.02448,0,0,0,0,4.33954,0,0,4.33954
