tag, ID, wall0Angle, wall1Angle, pitToPitAngle, builtWallAngle, wallBisectedAngle, pitToPitTangent, deltaBuiltBisected, deltaBuiltToPitTangent, deltaBuiltToPitTangentOverSumDeltas 
3, 176A1, 2.10364, 4.15123, 4.951, 0.158655, 3.12743, 3.3802, 0.172815, 0.079954, 0.316313
3, 176A1, 1.36847, 5.51739, 4.88563, 3.3183, 3.44293, 3.31484, 0.124632, 0.00346366, 0.0270396
3, 177A1, 0.151015, 4.86276, 4.34032, 2.74135, 2.50689, 2.76952, 0.234464, 0.0281725, 0.107268
3, 177A1, 0.982794, 4.83374, 4.23404, 2.71874, 2.90827, 2.66324, 0.189529, 0.055499, 0.226501
3, 177A1, 0.661043, 4.75997, 1.26791, 2.8786, 2.71051, 5.9803, 0.16809, 0.0398902, 0.191798
3, 177A1, 2.43297, 4.43409, 4.49703, 5.97513, 3.43353, 2.92623, 0.599988, 0.0926948, 0.13382
3, 177A1, 3.12076, 4.97864, 5.81954, 1.47432, 4.0497, 4.24874, 0.566214, 0.367174, 0.393378
3, 178A1, 0.772741, 5.09926, 4.66894, 3.14159, 2.936, 3.09814, 0.20559, 0.0434512, 0.174474
3, 178A1, 1.31824, 5.56436, 4.87754, 3.25225, 3.4413, 3.30674, 0.189049, 0.0544913, 0.223747
3, 178A1, 1.90042, 4.3415, 4.74095, 0.129703, 3.12096, 3.17016, 0.150336, 0.101139, 0.402184
3, 178A1, 2.09686, 4.21845, 4.27998, 6.02258, 3.15766, 2.70918, 0.276665, 0.171806, 0.383093
3, 178A1, 1.07345, 4.90509, 4.4607, 2.90785, 2.98927, 2.8899, 0.0814221, 0.0179471, 0.18061
3, 178A1, 2.15443, 4.39556, 5.1213, 0.191184, 3.275, 3.5505, 0.057779, 0.217723, 0.790278
3, 178A1, 2.2012, 4.62373, 5.07116, 0.273009, 3.41247, 3.50036, 0.0021359, 0.0857619, 0.9757
3, 180A1, 2.0251, 4.14105, 4.42433, 5.92441, 3.08307, 2.85354, 0.300253, 0.070715, 0.190623
3, 180A1, 1.74889, 3.94237, 4.41147, 6.03821, 2.84563, 2.84067, 0.0509824, 0.0559415, 0.52319
3, 180A1, 1.42549, 5.25281, 5.02339, 3.33899, 3.33915, 3.45259, 0.000159264, 0.113603, 0.9986
3, 180A1, 2.21979, 4.51499, 4.67907, -0, 3.36739, 3.10827, 0.2258, 0.0333211, 0.128593
3, 181A1, 2.2296, 4.42093, 4.49372, 6.2306, 3.32527, 2.92292, 0.236258, 0.166086, 0.412797
3, 181A1, 1.89935, 3.92699, 4.84071, 0.124355, 2.91317, 3.26992, 0.352778, 0.00396785, 0.0111224
3, 182A1, 1.17227, 5.23422, 4.98656, 3.36839, 3.20325, 3.41576, 0.165143, 0.0473685, 0.222899
3, 182A1, 2.28963, 4.53022, 5.38713, 0.380506, 3.40992, 3.81633, 0.112175, 0.294234, 0.723985
3, 182A1, 2.08703, 4.41077, 4.65186, 0.0322469, 3.2489, 3.08106, 0.075059, 0.0927791, 0.552789
3, 182A1, 1.43824, 5.39051, 5.15991, 3.6959, 3.41438, 3.58911, 0.281524, 0.106788, 0.275006
3, 182A1, 2.24194, 3.95924, 4.5986, 0.312042, 3.10059, 3.0278, 0.353046, 0.425834, 0.546727
3, 182A1, 1.75065, 4.27576, 4.34306, 6.20336, 3.01321, 2.77226, 0.0485567, 0.289504, 0.856367
3, 182A1, 1.4289, 5.39471, 5.06383, 3.47633, 3.4118, 3.49304, 0.0645269, 0.0167077, 0.205672
3, 182A1, 0.452778, 4.82618, 4.40035, 2.67795, 2.63948, 2.82955, 0.0384654, 0.151605, 0.797626
3, 183A1, 1.03436, 5.17604, 4.81206, 3.22142, 3.1052, 3.24126, 0.116224, 0.0198383, 0.145803
3, 183A1, 2.05168, 4.01153, 4.86276, 0.235545, 3.03161, 3.29196, 0.345529, 0.0851735, 0.197755
3, 183A1, 1.29865, 5.1119, 4.62688, 3.36507, 3.20528, 3.05609, 0.159792, 0.308982, 0.659128
