ZigZag, ID, x0, y0, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, a0, a1, a2, a3, a4, a5, a6, a7
11, 031A1, 1316, 946, 1316, 900, 1282, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5708, -1, -1, -1, -1, -1, -1, -1
11, 031A1, 1378, 952, 1367, 900, 1344, 898, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.866, -1, -1, -1, -1, -1, -1, -1
11, 031B1, 1130, 1042, 1129, 996, 1087, 997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56873, -1, -1, -1, -1, -1, -1, -1
11, 031B1, 1178, 1042, 1171, 998, 1146, 997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76854, -1, -1, -1, -1, -1, -1, -1
11, 031B1, 1230, 1042, 1224, 999, 1198, 999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70944, -1, -1, -1, -1, -1, -1, -1
11, 031B1, 3188, 1043, 3188, 1004, 3148, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5708, -1, -1, -1, -1, -1, -1, -1
11, 031B1, 3241, 1045, 3242, 997, 3278, 996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6194, -1, -1, -1, -1, -1, -1, -1
11, 031B1, 3291, 1046, 3292, 997, 3329, 997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5912, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 1741, 1008, 1742, 975, 1713, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5405, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 1792, 1012, 1791, 976, 1768, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64202, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 1843, 1020, 1842, 976, 1821, 976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59352, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 1891, 1021, 1889, 975, 1865, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61425, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 1944, 1023, 1939, 974, 1916, 974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67248, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 1995, 1017, 1992, 974, 1973, 974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64045, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 2051, 1012, 2044, 974, 2016, 972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82427, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 2107, 1013, 2108, 974, 2081, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50814, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 2159, 1014, 2157, 975, 2136, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62203, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 2206, 1008, 2212, 975, 2233, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75065, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 2807, 1018, 2807, 975, 2774, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5708, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 2863, 1017, 2865, 976, 2838, 975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55907, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 2918, 1016, 2921, 976, 2886, 976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49594, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 2976, 1012, 2977, 976, 2945, 976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54303, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 3039, 1017, 3039, 977, 3002, 977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5708, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 3093, 1014, 3096, 977, 3071, 977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48989, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 3150, 1013, 3153, 976, 3125, 976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48989, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 3200, 1018, 3208, 976, 3172, 976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38257, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 3251, 1020, 3255, 979, 3235, 977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57321, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 3296, 1022, 3296, 977, 3272, 977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5708, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 3347, 1020, 3348, 977, 3314, 977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54754, -1, -1, -1, -1, -1, -1, -1
11, 030B4, 3400, 1016, 3403, 979, 3370, 979, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48989, -1, -1, -1, -1, -1, -1, -1
11, 033A3, 2737, 1021, 2737, 987, 2668, 988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5563, -1, -1, -1, -1, -1, -1, -1
11, 033A3, 2789, 1021, 2788, 986, 2674, 987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59059, -1, -1, -1, -1, -1, -1, -1
11, 033A3, 2842, 1018, 2843, 984, 2761, 985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5292, -1, -1, -1, -1, -1, -1, -1
11, 033A3, 2893, 1020, 2896, 988, 2830, 987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49247, -1, -1, -1, -1, -1, -1, -1
11, 033A3, 2942, 1020, 2945, 986, 3021, 986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6588, -1, -1, -1, -1, -1, -1, -1
11, 033B3, 1672, 1027, 1672, 993, 1551, 994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56253, -1, -1, -1, -1, -1, -1, -1
11, 033B3, 1722, 1026, 1718, 995, 1619, 996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68902, -1, -1, -1, -1, -1, -1, -1
11, 033B3, 1777, 1026, 1777, 996, 1729, 996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5708, -1, -1, -1, -1, -1, -1, -1
11, 033B3, 1829, 1029, 1831, 997, 1911, 997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63322, -1, -1, -1, -1, -1, -1, -1
