ZigZag, ID, x0, y0, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, a0, a1, a2, a3, a4, a5, a6, a7
11, 105A1, 2135, 1039, 2115, 1041, 2115, 1055, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67046, -1, -1, -1, -1, -1, -1, -1
11, 106A1, 2108, 1031, 2084, 1038, 2091, 1062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5708, -1, -1, -1, -1, -1, -1, -1
11, 106A1, 2117, 1155, 2095, 1154, 2088, 1169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.962, -1, -1, -1, -1, -1, -1, -1
11, 106A1, 2080, 1240, 2063, 1227, 2073, 1204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81352, -1, -1, -1, -1, -1, -1, -1
11, 106A1, 2169, 1207, 2152, 1197, 2144, 1214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47891, -1, -1, -1, -1, -1, -1, -1
11, 106A1, 2135, 1265, 2128, 1253, 2134, 1235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29177, -1, -1, -1, -1, -1, -1, -1
11, 106A1, 2347, 1023, 2328, 1026, 2326, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50485, -1, -1, -1, -1, -1, -1, -1
11, 106A1, 2441, 1032, 2420, 1032, 2419, 1012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62075, -1, -1, -1, -1, -1, -1, -1
11, 106A1, 2432, 1222, 2413, 1219, 2414, 1192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69038, -1, -1, -1, -1, -1, -1, -1
11, 110A1, 2380, 1014, 2394, 997, 2383, 978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92787, -1, -1, -1, -1, -1, -1, -1
11, 110A1, 2422, 977, 2394, 995, 2400, 1011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78336, -1, -1, -1, -1, -1, -1, -1
11, 110A1, 2471, 1093, 2455, 1099, 2446, 1089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94484, -1, -1, -1, -1, -1, -1, -1
